	roi_name
0	Background
1	Hippocampus_L
2	Hippocampus_R
3	Temporal_Mid_L
4	Temporal_Mid_R
5	ParaHippocampal_L
6	ParaHippocampal_R
7	Temporal_Pole_Mid_L
8	Temporal_Pole_Mid_R
9	Frontal_Sup_Medial_L
10	Frontal_Sup_Medial_R
11	Frontal_Inf_Orb_2_L
12	Frontal_Inf_Orb_2_R
13	Frontal_Sup_2_L
14	Frontal_Sup_2_R
15	Parietal_Inf_L
16	Parietal_Inf_R
17	SupraMarginal_L
18	SupraMarginal_R
19	Angular_L
20	Angular_R
21	Occipital_Mid_L
22	Occipital_Mid_R
23	Insula_L
24	Insula_R
25	FCmed_L
26	FCmed_R
27	Temporal_Inf_L
28	Temporal_Inf_R
29	Thalamus_R
30	Rectus_L
31	Rectus_R
32	Frontal_Mid_2_L
33	Frontal_Mid_2_R
34	Precuneus_L
35	Precuneus_L
36	Occipital_Inf_L
37	Occipital_Inf_R
38	Precentral_R
39	FCmed_L
40	OFCmed_R
41	OFCant_L
42	OFCant_R
43	Frontal_Inf_Oper_L
44	Frontal_Inf_Oper_R
45	Paracentral_Lobule_L
46	Paracentral_Lobule_R
47	OFCpost_L
48	OFCpost_R
49	Frontal_Inf_Tri_L
50	Frontal_Inf_Tri_R
51	OFClat_L
52	OFClat_R
53	Frontal_Inf_Orb_2_L
54	Frontal_Inf_Orb_2_R
55	Fusiform_L
56	Fusiform_R
57	Rolandic_Oper_L
58	Rolandic_Oper_R
59	Cerebelum_Crus1_L
60	Cerebelum_Crus1_R
61	Cerebelum_Crus1_L
62	Cerebelum_Crus2_R
63	Cerebelum_3_L
64	Cerebelum_3_R
65	Cerebelum_4_5_L
66	Cerebelum_4_5_R
67	Cerebelum_6_L
68	Cerebelum_6_R
69	Caudate_L
70	Caudate_R
71	Cerebelum_7b_L
72	Cerebelum_7b_R
73	Supp_Motor_Area_L
74	Supp_Motor_Area_R
75	Putamen_L
76	Putamen_R
77	Cerebelum_8_L
78	Cerebelum_8_R
79	Pallidum_L
80	Pallidum_R
81	Cerebelum_9_L
82	Cerebelum_9_R
83	Postcentral_L
84	Postcentral_R
85	Cerebelum_10_L
86	Cerebelum_10_R
87	Calcarine_L
88	Calcarine_R
89	Vermis_1_2
90	Cuneus_L
91	Cuneus_R
92	Vermis_3
93	Lingual_L
94	Lingual_R
95	Vermis_4_5
96	Cingulate_Ant_L
97	Cingulate_Ant_R
98	Heschl_L
99	Heschl_R
100	Vermis_6
101	Cingulate_Mid_L
102	Cingulate_Mid_R
103	Temporal_Sup_L
104	Temporal_Sup_R
105	Vermis_7
106	Cingulate_Post_L
107	Cingulate_Post_R
108	Temporal_Pole_Sup_L
109	Temporal_Pole_Sup_R
110	Thalamus_L
111	Vermis_8
112	Olfactory_L
113	Olfactory_R
114	Vermis_9
115	Precentral_L
116	Vermis_10
117	Parietal_Sup_L
118	Parietal_Sup_R
119	Occipital_Sup_L
120	Occipital_Sup_R
