participants;sessions;scans
;summed_vols;
;superior_posterior;
;temporal_lobe_volume;
;total_brain;
;total_cerebellum;
;vermis;
;visit;
;1__orbitofrontal_left;
;1__orbitofrontal_right;
;1_left_i_iv_;
;2.__dlpfc_left;
;2.__dlpfc_right;
;2_right_i_iv_;
;3.__vmpfc_left;
;3.__vmpfc_right;
;3_left_v_;
;3rd_ventricle;
;3rd_ventricle_(posterior_part);
;4.__motor_left;
;4.__motor_right;
;4_right_v_;
;4th_ventricle_;
;5.__opercular_left;
;5.__opercular_right;
;5_left_vi_;
;5th_ventricle;
;6.__frp_left;
;6.__frp_right;
;6_vermis_vi_;
;7.__medial_temp_left;
;7.__medial_temp_right;
;7_right_vi_;
;8.__lateral_temp__left;
;8.__lateral_temp__right;
;8_left_crusi_;
;9.__temporal_pole_left;
;9.__temporal_pole_right;
;10.__supra_temp_left;
;10.__supra_temp_right;
;10_right_crusi_;
;11.__medial_parietal_left;
;11.__medial_parietal_right;
;11_left_crusii_;
;12.__lateral_parietal_left;
;12.__lateral_parietal_right;
;12_vermis_crusii_;
;13.__sensory_left;
;13.__sensory_right;
;13_right_crusii_;
;14.__medial_occ_left;
;14.__medial_occ_right;
;14_left_viib_;
;15.__lateral_occ_left;
;15.__lateral_occ_right;
;15_vermis_viib_;
;16.__anterior_cing_left;
;16.__anterior_cing_right;
;16_right_viib_;
;17.__middle_cing_left;
;17.__middle_cing_right;
;17_left_viiia_;
;18.__posterior_cing_left;
;18.__posterior_cing_right;
;18_vermis_viiia_;
;19.__ant_insula__left;
;19.__ant_insula__right;
;19_right_viiia_;
;20.__post_insula_left;
;20.__post_insula_right;
;20_left_viiib_;
;21_vermis_viiib_;
;22_right_viiib_;
;23_left_ix_;
;24_vermis_ix_;
;25_right_ix_;
;26_left_x_;
;27_vermis_x_;
;28_right_x_;
;29_left_dentate_;
;30_right_dentate_;
;31_left_interposed_;
;32_right_interposed_;
;33_left_fastigial_;
;34_right_fastigial_;
