participants;sessions;scans
;11.__medial_parietal_left;
;12.__lateral_parietal_left;
;13.__sensory_left;
;14.__medial_occ_left;
;15.__lateral_occ_left;
;16.__anterior_cing_left;
;17.__middle_cing_left;
;18.__posterior_cing_left;
;19.__ant_insula__left;
;20.__post_insula_left;
;1__orbitofrontal_right;
;2.__dlpfc_right;
;3.__vmpfc_right;
;4.__motor_right;
;5.__opercular_right;
;6.__frp_right;
;7.__medial_temp_right;
;8.__lateral_temp__right;
;9.__temporal_pole_right;
;10.__supra_temp_right;
;11.__medial_parietal_right;
;12.__lateral_parietal_right;
;13.__sensory_right;
;14.__medial_occ_right;
;15.__lateral_occ_right;
;16.__anterior_cing_right;
;17.__middle_cing_right;
;18.__posterior_cing_right;
;19.__ant_insula__right;
;20.__post_insula_right;
;series.1;
;1_left_i_iv_;
;2_right_i_iv_;
;3_left_v_;
;4_right_v_;
;5_left_vi_;
;6_vermis_vi_;
;7_right_vi_;
;8_left_crusi_;
;10_right_crusi_;
;11_left_crusii_;
;12_vermis_crusii_;
;13_right_crusii_;
;14_left_viib_;
;15_vermis_viib_;
;16_right_viib_;
;17_left_viiia_;
;18_vermis_viiia_;
;19_right_viiia_;
;20_left_viiib_;
;21_vermis_viiib_;
;22_right_viiib_;
;23_left_ix_;
;24_vermis_ix_;
;25_right_ix_;
;26_left_x_;
;27_vermis_x_;
;28_right_x_;
;29_left_dentate_;
;30_right_dentate_;
;31_left_interposed_;
;32_right_interposed_;
;33_left_fastigial_;
;34_right_fastigial_;
;left_cerebellar_cortex;
;right_cerebellar_cortex;
;total_cerebellum;
;vermis;
;deep_nuclei;
;anterior;
;superior_posterior;
;posterior;
;inferior_posterior;
;left_anterior;
;right_anterior;
;left_superior_posterior;
;right_superior_posterior;
;left_posterior;
;right_posterior;
;left_inferior_posterior;
;right_inferior_posterior;
